epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.0010000000474974513,0.002062381710857153,0.006126122549176216,0.12688663601875305,0.0006231772131286561,0.002647994551807642,0.06349384784698486
1,0.0010000000474974513,0.0018462555017322302,0.005049855448305607,0.11187828332185745,0.0007750484510324895,0.002952317940071225,0.06613236665725708
2,0.0010000000474974513,0.0015160375041887164,0.004507226403802633,0.09637266397476196,0.0005558020202443004,0.0015802854904904962,0.06413599848747253
3,0.0010000000474974513,0.0012699617072939873,0.0035163306165486574,0.08976773917675018,0.0005789981223642826,0.0021089876536279917,0.0645112544298172
4,0.0010000000474974513,0.0011303173378109932,0.0035496987402439117,0.08424407243728638,0.0005962300929240882,0.002362301340326667,0.06511880457401276
5,0.0010000000474974513,0.001057144720107317,0.003222886472940445,0.08166208118200302,0.0006295666680671275,0.002320092637091875,0.06628227233886719
6,0.0010000000474974513,0.0010524711105972528,0.0030969216022640467,0.08105625957250595,0.0005553518421947956,0.0015408826293423772,0.06450524181127548
7,0.0010000000474974513,0.0009813510114327073,0.00281836767680943,0.0795665830373764,0.0006171332788653672,0.0022837568540126085,0.06630858778953552
8,0.0010000000474974513,0.0009669054416008294,0.0028927938546985388,0.07912302762269974,0.0005661561153829098,0.002093201270326972,0.0650019645690918
9,0.0005000000237487257,0.0009409133926965296,0.002892570337280631,0.0782022774219513,0.0005573044181801379,0.0017902004765346646,0.06478600949048996
10,0.0005000000237487257,0.0009301415411755443,0.002597781363874674,0.07805977016687393,0.0005823276005685329,0.0017123048892244697,0.06556974351406097
11,0.0005000000237487257,0.0009226014371961355,0.002609811956062913,0.07750491797924042,0.0006004834431223571,0.0019661125261336565,0.06611651182174683
12,0.0005000000237487257,0.0009113847627304494,0.0027658166363835335,0.07708541303873062,0.0005938433459959924,0.001993423793464899,0.06599147617816925
13,0.0005000000237487257,0.0009074703557416797,0.0026644181925803423,0.07645890861749649,0.0005707194795832038,0.0016129215946421027,0.06523685157299042
14,0.0005000000237487257,0.000901050865650177,0.00256364862434566,0.07670851796865463,0.0005627212813124061,0.0017359551275148988,0.06511420756578445
15,0.0002500000118743628,0.0008860782254487276,0.0025368279311805964,0.0763854831457138,0.000565500813536346,0.0018164716893807054,0.06523005664348602
16,0.0002500000118743628,0.0008855615742504597,0.002499048365280032,0.0758339986205101,0.0005758745828643441,0.001678858301602304,0.06549717485904694
17,0.0002500000118743628,0.0008752209250815213,0.00247037410736084,0.07558701932430267,0.0005668216035701334,0.0015714610926806927,0.0652414932847023
18,0.0002500000118743628,0.0008786935359239578,0.0025619850493967533,0.07538338750600815,0.000566921487916261,0.0015620465856045485,0.0652427226305008
